age x,males,females
18,0.000964,0.000488
19,0.000964,0.000488
20,0.000964,0.000488
21,0.001006,0.000525
22,0.001041,0.000557
23,0.001075,0.000612
24,0.001101,0.000659
25,0.001124,0.000704
26,0.001144,0.000746
27,0.00116,0.000787
28,0.001175,0.000836
29,0.001191,0.000882
30,0.00121,0.000926
31,0.001231,0.000966
32,0.001253,0.001005
33,0.001328,0.001097
34,0.001406,0.001187
35,0.001491,0.001285
36,0.001565,0.001396
37,0.00164,0.001513
38,0.001795,0.001688
39,0.001942,0.001859
40,0.002084,0.002034
41,0.002231,0.002208
42,0.002371,0.002384
43,0.00261,0.00266
44,0.002834,0.002933
45,0.003044,0.003196
46,0.003328,0.003435
47,0.003609,0.003674
48,0.004112,0.003972
49,0.00447,0.004272
50,0.004931,0.004566
51,0.005353,0.004861
52,0.005798,0.005145
53,0.006598,0.005403
54,0.007415,0.005654
55,0.008218,0.005891
56,0.008968,0.006111
57,0.009718,0.006325
58,0.010556,0.006644
59,0.011395,0.006981
60,0.012229,0.007306
61,0.013106,0.007633
62,0.013982,0.007962
63,0.015213,0.00831
64,0.016458,0.008672
65,0.01764,0.008998
66,0.019467,0.009774
67,0.021362,0.010565
68,0.023369,0.01158
69,0.025432,0.012594
70,0.02739,0.013681
71,0.029128,0.014714
72,0.030963,0.015789
73,0.032287,0.016584
74,0.033772,0.017387
75,0.035137,0.018228
